id	proactive	emot_intel	sjt	work_samp	str_int	consc	cog_flex	work_exp	degree	job_perf	citizenship	promotion	high_potential	wrok_exp
2	59	51	51	52	51	54	48	0-1	None	58	46	No	No	0-1
4	53	50	52	49	47	51	51	0-1	Bachelor	40	51	No	No	0-1
6	57	44	49	51	50	54	44	0-1	Associate	50	39	No	No	0-1
7	55	46	50	49	44	54	39	0-1	Associate	47	45	Yes	Yes	0-1
8	52	47	43	45	50	56	51	6-10	Associate	52	48	No	Yes	6-10
10	50	49	54	44	54	48	50	0-1	Doctorate	45	47	Yes	No	0-1
12	55	40	51	46	52	50	42	0-1	Associate	37	45	No	No	0-1
13	53	45	48	47	48	48	49	2-5	None	41	48	No	No	2-5
14	50	43	48	45	49	53	44	6-10	Bachelor	45	41	No	No	6-10
15	56	47	48	48	49	56	46	6-10	Bachelor	48	40	No	No	6-10
17	53	50	52	49	51	57	47	11+	Associate	52	52	Yes	Yes	11+
18	56	50	52	43	50	52	44	0-1	Associate	45	44	No	No	0-1
19	53	43	47	43	48	48	39	6-10	Associate	42	39	No	No	6-10
20	56	46	47	45	49	52	51	2-5	Bachelor	40	44	No	No	2-5
25	52	46	49	53	49	54	51	0-1	Bachelor	48	56	No	No	0-1
26	54	41	50	48	47	57	47	2-5	Bachelor	43	37	No	No	2-5
27	47	45	44	45	45	47	44	2-5	Bachelor	36	30	No	No	2-5
30	49	43	44	38	46	44	45	0-1	Bachelor	31	31	No	No	0-1
31	50	47	47	49	47	56	41	11+	Associate	41	42	No	No	11+
33	49	38	46	45	46	52	46	0-1	Bachelor	46	34	No	No	0-1
34	55	44	48	48	47	54	43	2-5	None	47	50	No	No	2-5
35	52	53	50	43	48	51	46	2-5	Bachelor	46	48	No	No	2-5
37	55	49	49	49	44	55	44	6-10	Bachelor	49	45	No	Yes	6-10
40	43	47	43	38	44	49	46	2-5	Bachelor	30	33	Yes	No	2-5
41	53	49	55	53	53	55	53	11+	Bachelor	56	56	No	No	11+
42	51	45	49	51	54	52	48	0-1	Associate	44	48	No	Yes	0-1
43	54	48	48	44	48	46	48	2-5	Bachelor	39	48	No	No	2-5
44	47	46	46	46	46	43	40	0-1	None	39	35	No	No	0-1
45	53	45	47	46	54	44	46	0-1	Bachelor	42	44	No	Yes	0-1
46	53	48	50	48	54	49	50	6-10	Bachelor	51	46	No	Yes	6-10
47	55	45	51	48	50	53	43	6-10	None	49	47	No	No	6-10
49	59	45	49	48	50	52	50	0-1	Bachelor	38	40	No	No	0-1
50	53	47	43	47	48	58	46	6-10	Bachelor	45	29	No	No	6-10
51	54	50	48	49	50	52	45	2-5	Associate	48	38	No	No	2-5
52	57	50	50	50	57	61	46	6-10	Bachelor	60	56	Yes	No	6-10
53	47	44	41	39	39	47	39	0-1	None	32	39	Yes	No	0-1
57	55	48	45	44	50	54	40	0-1	None	37	50	No	No	0-1
58	52	44	46	46	49	59	45	0-1	Associate	37	43	No	No	0-1
59	58	48	54	46	48	48	50	2-5	None	51	48	No	No	2-5
60	59	55	57	52	53	52	49	2-5	Associate	59	49	No	Yes	2-5
61	53	49	48	49	51	55	47	2-5	Bachelor	43	42	No	Yes	2-5
62	51	42	48	46	47	47	46	0-1	Bachelor	43	40	No	No	0-1
63	53	49	51	52	49	59	45	6-10	Bachelor	43	51	No	No	6-10
64	49	36	45	44	42	48	38	0-1	None	35	42	No	No	0-1
65	48	47	48	44	50	46	42	0-1	None	42	45	No	No	0-1
66	49	50	48	43	49	46	47	0-1	Bachelor	28	44	No	No	0-1
68	44	43	42	40	43	43	44	0-1	Associate	40	38	No	No	0-1
69	49	48	47	41	47	42	42	0-1	None	33	36	Yes	No	0-1
70	51	44	47	48	52	48	55	0-1	Bachelor	47	46	No	Yes	0-1
71	50	44	43	43	46	49	38	0-1	Associate	40	40	Yes	No	0-1
74	45	37	42	39	45	40	42	6-10	Associate	30	32	No	No	6-10
75	57	46	53	52	48	56	45	2-5	Bachelor	53	49	No	No	2-5
78	50	45	47	44	49	51	51	0-1	Bachelor	44	47	No	No	0-1
79	50	46	43	42	47	49	42	0-1	None	30	53	No	No	0-1
80	58	49	52	49	53	56	45	2-5	Associate	51	51	Yes	No	2-5
81	51	47	46	47	45	44	45	0-1	Bachelor	38	43	No	No	0-1
82	52	35	42	45	46	56	39	2-5	None	39	32	No	No	2-5
83	49	44	44	47	53	56	44	0-1	Associate	33	49	No	No	0-1
84	53	45	46	50	45	57	51	2-5	Bachelor	58	50	No	Yes	2-5
85	52	49	54	50	50	49	47	0-1	Bachelor	44	52	No	No	0-1
88	54	48	48	47	51	57	46	2-5	Bachelor	52	52	No	Yes	2-5
89	57	48	51	48	49	54	44	0-1	Doctorate	49	48	No	Yes	0-1
90	54	46	43	47	45	56	43	2-5	Bachelor	53	45	No	Yes	2-5
91	55	51	50	47	51	49	50	6-10	Bachelor	54	45	No	No	6-10
92	52	40	50	42	44	47	43	2-5	None	43	40	No	No	2-5
93	49	41	45	45	44	51	44	0-1	Bachelor	32	46	No	No	0-1
94	51	46	50	43	45	48	44	2-5	Bachelor	40	46	No	No	2-5
96	54	50	48	43	55	51	40	0-1	None	40	44	No	No	0-1
97	55	44	49	47	50	55	49	0-1	Bachelor	48	43	No	No	0-1
98	54	39	46	47	48	50	44	6-10	Bachelor	40	47	No	No	6-10
99	53	55	48	49	51	54	51	6-10	Bachelor	67	55	Yes	Yes	6-10
101	50	36	43	46	44	49	37	6-10	None	47	40	No	No	6-10
102	58	49	49	44	49	45	43	0-1	Bachelor	43	45	Yes	No	0-1
103	55	45	53	46	49	49	51	11+	Bachelor	47	43	No	Yes	11+
104	52	45	45	46	47	51	47	2-5	Doctorate	51	32	No	No	2-5
106	49	47	48	49	45	58	44	6-10	None	57	44	No	No	6-10
108	56	56	54	49	54	55	51	2-5	Bachelor	68	63	Yes	Yes	2-5
109	50	43	50	48	46	48	48	0-1	Associate	41	43	No	No	0-1
111	56	50	54	51	52	52	46	6-10	Bachelor	45	49	Yes	No	6-10
112	49	45	48	45	43	44	49	0-1	None	39	40	Yes	No	0-1
113	52	50	47	43	50	57	47	6-10	Bachelor	59	59	No	Yes	6-10
114	56	46	48	47	58	53	52	2-5	Bachelor	42	55	No	No	2-5
115	51	48	44	47	52	58	49	2-5	Bachelor	49	51	No	No	2-5
116	57	47	47	47	47	57	47	6-10	Master	50	43	No	No	6-10
117	50	45	46	44	55	58	49	2-5	Bachelor	47	48	No	Yes	2-5
118	52	39	47	48	47	51	45	0-1	Bachelor	38	36	No	No	0-1
119	56	41	53	47	51	55	51	6-10	Bachelor	47	53	No	No	6-10
120	56	54	52	46	52	54	43	11+	None	51	53	No	No	11+
122	55	39	51	50	43	53	46	2-5	Doctorate	40	49	No	No	2-5
123	49	43	50	47	49	49	47	2-5	Master	41	31	No	No	2-5
124	52	48	45	45	51	57	46	2-5	Bachelor	49	43	No	No	2-5
125	51	47	47	40	51	47	45	0-1	Bachelor	37	41	No	No	0-1
126	54	49	49	51	45	53	42	2-5	None	53	47	No	No	2-5
127	52	45	46	41	44	47	46	0-1	Associate	38	32	No	No	0-1
128	56	49	48	47	53	51	47	2-5	Bachelor	50	56	No	No	2-5
129	44	43	39	42	43	46	45	0-1	Bachelor	40	28	No	No	0-1
130	51	51	45	38	49	48	48	0-1	None	40	40	No	No	0-1
131	51	52	47	42	54	45	50	0-1	Bachelor	44	47	No	No	0-1
132	53	47	49	44	46	51	51	6-10	Bachelor	51	43	No	No	6-10
134	57	50	50	47	51	53	51	0-1	Bachelor	49	59	No	No	0-1
135	56	53	52	49	50	57	47	2-5	Associate	48	52	No	No	2-5
136	56	47	49	52	46	58	39	2-5	None	44	50	No	Yes	2-5
138	53	51	43	41	51	57	40	0-1	None	41	42	Yes	Yes	0-1
139	54	48	47	48	49	54	46	6-10	Bachelor	45	52	No	No	6-10
140	50	47	44	44	44	43	42	0-1	None	36	40	No	No	0-1
141	50	46	51	50	45	51	44	2-5	None	45	50	Yes	No	2-5
142	46	40	43	38	43	45	40	2-5	None	31	34	No	No	2-5
143	54	42	43	42	50	53	45	2-5	Bachelor	32	35	No	No	2-5
144	52	49	43	45	52	47	52	2-5	Associate	45	44	Yes	Yes	2-5
145	50	48	41	42	52	50	44	0-1	Bachelor	43	41	No	No	0-1
148	57	53	53	49	55	48	48	0-1	Bachelor	45	54	No	No	0-1
150	46	44	43	41	43	45	47	2-5	Bachelor	40	35	No	No	2-5
151	53	50	48	48	52	51	45	0-1	Bachelor	47	43	No	Yes	0-1
153	60	52	56	52	55	60	51	2-5	Associate	59	59	Yes	No	2-5
154	56	49	49	44	53	50	49	2-5	Bachelor	41	41	Yes	Yes	2-5
155	53	46	48	49	50	54	48	11+	Master	48	49	No	No	11+
156	52	44	44	43	48	51	40	6-10	Associate	48	41	No	No	6-10
158	52	42	46	48	46	47	42	0-1	None	41	46	No	Yes	0-1
159	57	53	53	53	57	53	49	6-10	Bachelor	60	61	No	Yes	6-10
160	58	49	49	49	55	57	50	0-1	Bachelor	50	53	No	No	0-1
161	47	41	43	43	42	46	41	0-1	None	31	38	No	No	0-1
162	50	46	49	50	49	62	43	2-5	Bachelor	36	57	No	No	2-5
164	54	46	45	46	52	52	48	2-5	Associate	48	38	No	No	2-5
165	53	49	44	39	45	44	44	0-1	Bachelor	43	44	Yes	No	0-1
166	53	46	45	52	44	57	41	0-1	None	45	42	Yes	No	0-1
168	54	44	45	47	48	48	49	0-1	None	44	42	No	Yes	0-1
169	55	50	51	45	48	41	45	2-5	Bachelor	40	45	No	No	2-5
170	58	52	60	58	56	58	47	0-1	Associate	68	53	Yes	Yes	0-1
171	48	46	50	46	48	56	48	6-10	Bachelor	56	37	No	No	6-10
172	52	46	47	49	49	53	48	2-5	Bachelor	43	43	Yes	No	2-5
173	59	47	45	48	52	56	39	6-10	None	51	40	No	No	6-10
174	51	39	45	46	47	53	43	0-1	None	39	37	No	No	0-1
175	50	45	41	39	50	56	34	6-10	None	42	28	No	No	6-10
176	54	48	49	49	48	56	48	0-1	Bachelor	48	48	No	No	0-1
177	55	47	48	50	49	50	48	2-5	Associate	45	54	No	No	2-5
178	49	42	45	43	44	50	46	2-5	Bachelor	42	38	No	No	2-5
180	51	41	42	44	45	51	42	0-1	None	34	43	No	No	0-1
181	49	46	45	45	45	50	44	2-5	Associate	45	40	No	No	2-5
182	56	51	50	50	55	59	49	2-5	Bachelor	50	56	No	No	2-5
183	54	44	50	47	48	51	46	6-10	None	41	47	No	No	6-10
184	49	48	50	51	51	49	50	2-5	None	43	40	No	No	2-5
185	49	47	40	42	46	45	43	2-5	None	33	37	No	No	2-5
187	56	49	47	49	48	59	40	6-10	None	44	41	No	Yes	6-10
192	45	42	45	43	48	49	46	2-5	Bachelor	34	41	No	Yes	2-5
193	49	44	43	41	42	49	38	2-5	Associate	25	37	No	No	2-5
194	48	43	42	43	42	51	40	2-5	Associate	40	39	No	No	2-5
196	54	44	51	51	48	56	50	0-1	Associate	44	48	No	No	0-1
197	48	45	42	43	46	50	41	0-1	Associate	35	30	No	No	0-1
199	48	41	42	45	45	49	45	11+	Bachelor	40	35	Yes	No	11+
200	57	41	48	43	43	51	46	6-10	Bachelor	42	45	No	No	6-10
201	58	47	50	51	49	53	45	0-1	Bachelor	46	47	No	No	0-1
202	50	42	48	53	46	49	45	2-5	Associate	43	38	No	No	2-5
203	56	49	49	47	49	53	51	0-1	Bachelor	47	46	Yes	No	0-1
204	47	45	43	44	43	56	50	2-5	Doctorate	42	40	No	No	2-5
205	54	40	44	44	50	56	47	6-10	Bachelor	47	52	No	No	6-10
206	46	36	39	40	42	51	41	6-10	Associate	41	25	No	No	6-10
207	57	47	54	53	47	57	42	0-1	None	46	42	No	No	0-1
208	51	48	48	45	47	57	46	2-5	Associate	36	52	No	No	2-5
209	52	46	45	42	49	51	43	0-1	None	36	43	No	No	0-1
210	51	44	44	39	51	45	55	0-1	None	33	44	No	No	0-1
212	52	42	44	44	48	47	45	0-1	None	40	41	No	Yes	0-1
214	57	44	51	52	56	56	47	6-10	Bachelor	52	49	No	No	6-10
215	52	45	49	45	47	52	43	2-5	None	36	41	No	No	2-5
216	51	39	40	44	38	49	33	0-1	Associate	47	26	No	No	0-1
217	49	43	45	45	42	51	45	0-1	Master	40	38	No	No	0-1
218	45	39	33	38	38	51	40	11+	None	38	37	No	No	11+
219	50	46	45	43	48	46	47	0-1	Bachelor	47	47	Yes	No	0-1
220	53	42	44	42	42	48	41	0-1	None	40	43	No	No	0-1
222	51	47	48	41	48	43	54	6-10	Bachelor	48	56	No	No	6-10
223	49	42	44	46	43	54	43	2-5	Bachelor	39	41	No	No	2-5
224	56	50	48	44	50	52	40	6-10	None	55	42	No	No	6-10
226	57	43	49	41	49	59	49	6-10	Associate	51	53	No	No	6-10
227	55	46	42	49	49	57	46	6-10	Bachelor	55	46	No	Yes	6-10
228	44	41	41	38	46	52	39	11+	None	35	39	No	No	11+
230	54	49	45	51	44	55	45	11+	Associate	59	44	No	No	11+
232	52	50	48	45	52	49	45	2-5	Bachelor	46	46	Yes	No	2-5
233	55	50	51	49	46	50	44	0-1	Bachelor	45	41	No	No	0-1
234	52	51	50	47	45	50	42	6-10	None	45	51	No	No	6-10
235	58	51	52	56	53	54	59	0-1	None	67	62	Yes	Yes	0-1
236	50	45	43	43	48	49	46	0-1	Bachelor	45	32	No	No	0-1
237	54	48	50	44	49	47	51	0-1	Bachelor	30	56	No	No	0-1
238	50	43	47	42	46	51	47	0-1	Associate	34	35	No	No	0-1
239	54	41	45	38	50	46	46	2-5	Associate	40	30	No	No	2-5
240	53	50	50	50	58	54	50	0-1	Bachelor	53	51	No	Yes	0-1
241	54	46	46	48	45	53	40	0-1	None	37	41	No	No	0-1
242	50	45	42	41	43	48	43	0-1	Bachelor	30	39	No	No	0-1
244	53	46	45	43	46	43	44	0-1	Associate	44	45	Yes	No	0-1
246	61	50	53	49	46	60	49	2-5	None	57	59	No	Yes	2-5
247	54	44	46	40	51	55	46	2-5	Bachelor	51	37	No	No	2-5
250	52	46	45	48	48	51	42	11+	None	47	37	No	No	11+
251	53	44	45	45	48	55	39	2-5	None	43	38	No	No	2-5
254	55	51	43	48	47	54	50	0-1	Bachelor	47	51	No	No	0-1
255	46	39	40	43	42	41	41	2-5	Associate	30	33	No	No	2-5
256	52	37	42	45	48	46	39	0-1	None	30	32	No	No	0-1
257	48	42	45	40	49	48	42	0-1	None	31	33	Yes	No	0-1
258	51	38	48	46	45	51	46	2-5	Associate	37	39	No	No	2-5
259	49	44	50	46	43	50	48	2-5	Bachelor	45	34	No	No	2-5
261	55	46	49	51	46	54	47	6-10	Bachelor	64	51	No	Yes	6-10
263	53	50	48	45	48	51	51	2-5	Bachelor	50	44	No	No	2-5
265	47	44	47	47	44	53	43	2-5	None	39	50	No	No	2-5
266	50	44	47	49	46	57	48	2-5	Master	49	40	No	No	2-5
267	54	46	44	47	47	54	43	0-1	Bachelor	47	44	No	Yes	0-1
269	50	47	47	48	48	53	50	0-1	Bachelor	53	43	No	No	0-1
270	54	42	46	45	45	47	47	0-1	Bachelor	40	46	No	No	0-1
271	54	42	48	53	45	53	46	2-5	Bachelor	54	49	No	Yes	2-5
272	57	50	54	49	57	56	47	2-5	Bachelor	56	45	No	No	2-5
273	50	49	45	43	47	57	40	11+	None	52	45	No	Yes	11+
275	57	48	51	44	51	54	51	2-5	Bachelor	49	47	No	No	2-5
276	58	47	47	48	50	53	50	2-5	Associate	51	55	Yes	Yes	2-5
277	49	42	41	44	48	47	45	0-1	Associate	33	38	No	No	0-1
278	51	48	46	45	49	47	45	2-5	Bachelor	45	38	No	No	2-5
280	55	48	48	48	50	60	46	2-5	Bachelor	53	59	No	Yes	2-5
281	50	41	42	40	45	49	43	11+	Bachelor	41	39	No	No	11+
282	53	47	44	43	47	53	44	2-5	Bachelor	53	43	No	No	2-5
283	48	45	46	38	49	49	41	0-1	None	32	40	No	No	0-1
285	56	52	51	46	52	50	52	0-1	Associate	57	50	No	No	0-1
286	53	43	49	52	44	55	43	11+	None	51	51	No	No	11+
287	57	47	48	45	53	52	42	6-10	None	43	43	No	No	6-10
288	51	39	36	44	46	52	45	0-1	Bachelor	31	39	No	No	0-1
289	54	49	49	45	51	54	48	2-5	Bachelor	40	49	No	No	2-5
290	49	42	44	42	46	51	46	6-10	Master	34	46	No	No	6-10
291	54	52	45	49	50	58	43	6-10	None	57	57	No	Yes	6-10
292	47	40	46	49	41	52	42	2-5	None	34	37	No	No	2-5
293	52	43	48	46	49	54	49	2-5	Bachelor	46	45	No	Yes	2-5
294	55	48	50	47	46	53	50	2-5	Bachelor	41	51	No	No	2-5
295	48	44	45	42	44	49	49	0-1	Associate	43	46	No	No	0-1
297	54	46	45	50	47	57	44	0-1	Associate	48	49	No	Yes	0-1
298	51	45	46	38	46	51	47	2-5	Bachelor	30	42	No	No	2-5
299	56	54	52	47	50	49	49	0-1	Bachelor	57	57	Yes	Yes	0-1
301	49	44	49	43	48	51	43	6-10	None	33	44	No	No	6-10
302	53	46	51	48	49	55	49	2-5	Master	55	43	No	No	2-5
304	52	47	47	38	53	57	49	6-10	Bachelor	51	53	Yes	Yes	6-10
305	56	45	51	50	50	56	49	2-5	Bachelor	57	50	No	No	2-5
306	55	48	52	46	53	51	46	2-5	None	52	44	No	No	2-5
308	48	47	44	40	47	51	47	6-10	Associate	42	44	No	No	6-10
309	50	51	46	44	50	52	44	0-1	Doctorate	46	45	No	No	0-1
310	51	46	41	38	49	48	49	0-1	Bachelor	39	48	No	No	0-1
311	52	53	47	42	50	54	49	0-1	Master	45	48	No	No	0-1
313	58	50	51	53	50	54	48	0-1	Bachelor	51	43	No	No	0-1
314	55	50	49	44	56	55	57	0-1	Bachelor	54	55	No	Yes	0-1
315	53	38	47	46	45	51	46	2-5	Bachelor	46	35	No	No	2-5
316	55	51	51	49	48	56	48	0-1	Bachelor	45	51	No	No	0-1
317	51	48	52	49	55	53	46	6-10	Associate	40	43	No	No	6-10
320	53	48	47	46	44	53	46	2-5	Bachelor	38	44	No	No	2-5
323	50	50	51	50	53	48	46	0-1	Bachelor	51	42	No	No	0-1
324	56	42	45	39	41	49	39	2-5	Bachelor	36	38	No	No	2-5
325	52	44	44	44	47	49	41	2-5	None	44	37	No	No	2-5
328	48	43	42	40	50	48	43	0-1	Bachelor	31	44	No	No	0-1
329	53	46	45	49	45	50	52	2-5	Bachelor	46	42	No	No	2-5
330	49	46	42	46	39	52	46	0-1	Bachelor	39	37	No	No	0-1
331	55	47	50	47	47	49	44	2-5	Bachelor	46	40	No	No	2-5
332	51	49	46	40	48	46	45	0-1	None	41	35	No	Yes	0-1
333	58	52	51	47	48	51	43	0-1	None	54	56	No	Yes	0-1
334	56	47	46	46	44	56	46	11+	Associate	42	54	No	No	11+
335	59	48	47	45	51	44	50	0-1	Bachelor	51	36	No	No	0-1
336	52	52	51	44	52	49	42	6-10	Associate	41	52	No	No	6-10
337	51	46	46	45	50	51	48	0-1	Bachelor	45	45	No	No	0-1
338	55	53	45	43	53	52	50	0-1	Bachelor	50	43	No	No	0-1
339	56	50	53	51	52	58	47	6-10	Associate	58	51	No	No	6-10
340	51	46	49	50	42	44	42	2-5	None	28	41	No	No	2-5
341	55	48	49	49	51	56	52	2-5	Bachelor	40	54	No	No	2-5
342	56	44	44	50	46	58	48	2-5	Bachelor	54	52	No	Yes	2-5
343	55	48	51	45	51	54	43	2-5	None	46	52	No	No	2-5
344	51	45	38	41	44	46	42	0-1	None	34	30	No	No	0-1
347	51	46	50	45	51	43	52	0-1	Bachelor	41	51	No	No	0-1
348	53	43	46	51	48	56	48	6-10	None	42	47	Yes	Yes	6-10
349	52	45	42	45	47	58	40	6-10	None	44	41	Yes	Yes	6-10
350	49	43	43	42	47	49	46	2-5	Bachelor	39	39	No	No	2-5
351	55	46	44	43	52	53	43	2-5	Bachelor	39	41	No	No	2-5
352	47	46	44	45	47	54	47	6-10	Bachelor	50	39	No	No	6-10
356	50	44	48	40	44	47	43	0-1	Bachelor	38	41	No	No	0-1
357	52	53	52	49	53	58	52	2-5	None	47	53	No	No	2-5
359	51	50	50	48	47	48	45	0-1	Associate	48	49	No	Yes	0-1
363	47	43	48	49	46	54	46	6-10	Bachelor	49	37	No	No	6-10
364	56	42	45	49	48	62	50	2-5	Bachelor	49	48	Yes	No	2-5
365	51	42	48	44	46	59	39	2-5	None	32	38	No	No	2-5
366	52	51	50	52	51	56	48	6-10	Bachelor	56	66	No	Yes	6-10
367	51	48	46	45	44	51	47	0-1	Bachelor	43	53	No	No	0-1
368	49	41	45	44	48	54	43	2-5	None	41	42	No	No	2-5
369	50	47	44	52	37	48	40	2-5	Associate	39	35	Yes	No	2-5
370	54	53	51	48	51	49	53	2-5	Associate	60	52	No	No	2-5
372	57	49	53	50	53	55	51	11+	Bachelor	56	55	Yes	Yes	11+
373	49	44	40	43	45	51	44	0-1	Bachelor	38	38	No	No	0-1
374	52	49	47	41	51	44	41	0-1	None	43	38	No	No	0-1
375	52	47	50	46	48	56	47	0-1	Bachelor	46	44	No	No	0-1
376	55	45	47	48	52	51	48	2-5	Bachelor	46	48	No	Yes	2-5
377	47	41	45	45	44	53	47	2-5	Associate	37	42	No	No	2-5
378	50	43	48	46	47	53	43	2-5	None	46	48	Yes	No	2-5
380	53	43	43	44	49	63	49	0-1	Bachelor	45	48	Yes	No	0-1
383	48	44	45	45	42	56	38	2-5	None	35	33	No	No	2-5
384	49	40	36	34	48	40	37	2-5	None	28	33	No	No	2-5
385	59	46	46	51	48	62	44	6-10	Bachelor	50	50	Yes	No	6-10
386	52	50	49	46	53	53	55	2-5	Bachelor	56	59	Yes	Yes	2-5
387	51	47	44	44	50	51	51	2-5	None	50	38	No	No	2-5
388	50	42	45	39	43	48	40	2-5	None	29	45	No	No	2-5
389	51	52	51	46	54	50	50	0-1	None	47	45	No	Yes	0-1
390	49	42	45	45	49	59	51	6-10	Bachelor	50	50	No	No	6-10
391	53	46	45	45	54	54	48	6-10	Doctorate	51	36	No	No	6-10
392	50	42	40	37	48	50	43	0-1	Bachelor	28	40	No	No	0-1
393	53	52	49	55	55	60	50	2-5	Bachelor	58	57	Yes	Yes	2-5
394	55	48	47	52	53	58	41	0-1	None	52	46	No	Yes	0-1
396	55	48	48	51	47	56	45	0-1	None	54	39	No	No	0-1
397	53	52	51	41	52	50	50	2-5	Associate	61	48	No	Yes	2-5
398	52	45	48	45	53	46	50	0-1	Bachelor	44	42	No	No	0-1
400	52	48	48	51	46	57	48	2-5	None	52	37	No	No	2-5
401	51	49	48	44	46	53	45	6-10	Bachelor	45	48	No	No	6-10
